200,English,Русский,French,Danish,Indonesian,Korean,Swedish,Tuskish,Ukranian,Vietnamese,Hungarian,German,Finnish,Czech,Italian,Norwegian,Chinese Trad,Chinese Simplified,Thai,Japanese,Romanian ,Arabic,Slovak,Spanish,Polish,Dutch,Portugese,hebrew
,en = ,ru = ,fr = ,da = ,id = ,ko = ,sv = ,tr = ,uk = ,vi = ,hu = ,de = ,fi = ,cs = ,it = ,nb = ,zh-Hant = ,zh-Hans = ,th = ,ja = ,ro = ,ar = ,sk = ,es = ,pl = ,nl = ,pt = ,he =
Abkhazia,Abkhazia,Абхазия,Abkhazie,Abkhasien,Abkhazia,압하지야,Abchazien,Abhazya,Абхазія,Abkhazia,Abházia,Abchasien,Abhasia,Abcházie,Abcasia,Abkhasia,阿布哈茲,阿布哈兹,อับฮาเซีย,アブハジア,Abhazia,أبخازيا,Abcházsko,Abjasia,Abchazja,Abchazië,Abecásia,אבחזיה
Afghanistan,Afghanistan,Афганистан,Afghanistan,Afghanistan,Afganistan,아프가니스탄,Afghanistan,Afganistan,Афганістан,Afghanistan,Afganisztán,Afghanistan,Afganistan,Afghánistán,Afghanistan,Afghanistan,阿富汗,阿富汗,ประเทศอัฟกานิสถาน,アフガニスタン,Afganistan,أفغانستان,Afganistan,Afganistán,Afganistan,Afghanistan,Afeganistão,אפגניסטן
Alabama,Alabama,Алабама,Alabama,Alabama,Alabama,앨라배마 주,Alabama,Alabama,Алабама,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,亞拉巴馬州,亚拉巴马州,รัฐแอละแบมา,アラバマ州,Alabama,ألاباما,Alabama,Alabama,Alabama,Alabama,Alabama,אלבמה
Albania,Albania,Албания,Albanie,Albanien,Albania,알바니아,Albanien,Arnavutluk,Албанія,Albania,Albánia,Albanien,Albania,Albánie,Albania,Albania,阿爾巴尼亞,阿尔巴尼亚,ประเทศแอลเบเนีย,アルバニア,Albania,ألبانيا,Albánsko,Albania,Albania,Albanië,Albânia,אלבניה
Algeria,Algeria,Алжир,Algérie,Algeriet,Aljazair,알제리,Algeriet,Cezayir,Алжир,Algérie,Algéria,Algerien,Algeria,Alžírsko,Algeria,Algerie,阿爾及利亞,阿尔及利亚,ประเทศแอลจีเรีย,アルジェリア,Algeria,الجزائر,Alžírsko,Argelia,Algieria,Algerije,Argélia,אלג'יריה
Algeria_Central,Algeria — Centre,Алжир — Центр,Algérie — Centre,Algeriet — Centrum,Aljazair — Pusat,알제리 — 중앙,Algeriet — Central,Cezayir — Merkez,Алжир — Центр,Algérie — Trung tâm,Algéria — Középpont,Algerien — Mitte,Algeria — Keskiosa,Alžírsko — Střed,Algeria — Centro,Algerie — Sentralt,阿爾及利亞 - 中心,阿尔及利亚 - 中心,ประเทศแอลจีเรีย — กลาง,アルジェリア・中部,Algeria — Centru,الجزائر — مركز,Alžírsko — Stred,Argelia — Centro,Algieria — Środek,Algerije — Centrum,Argélia — Centro,אלג'יריה — מֶרְכָּז
Algeria_Coast,Algeria — North,Алжир — Север,Algérie — Nord,Algeriet — Nord,Aljazair — Utara,알제리 — 북,Algeriet — Nord,Cezayir — Kuzey,Алжир — Північ,Algérie — Bắc,Algéria — Észak,Algerien — Norden,Algeria — Pohjoinen,Alžírsko — Sever,Algeria — Nord,Algerie — Nord,阿爾及利亞 - 北部,阿尔及利亚 - 北部,ประเทศแอลจีเรีย — เหนือ,アルジェリア・北部,Algeria — Nord,الجزائر — شمال,Alžírsko — Sever,Argelia — Norte,Algieria — Północ,Algerije — Noord,Argélia — Norte,אלג'יריה — צָפוֹן
Andorra,Andorra,Андорра,Andorre,Andorra,Andorra,안도라,Andorra,Andorra,Андорра,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,安道爾,安道尔,ประเทศอันดอร์รา,アンドラ,Andorra,أندورا,Andorra,Andorra,Andora,Andorra,Andorra,אנדורה
Angola,Angola,Ангола,Angola,Angola,Angola,앙골라,Angola,Angola,Ангола,Angola,Angola,Angola,Angola,Angola,Angola,Angola,安哥拉,安哥拉,ประเทศแองโกลา,アンゴラ,Angola,أنجولا,Angola,Angola,Angola,Angola,Angola,אנגולה
Anguilla,Anguilla,Ангилья,Anguilla,Anguilla,Anguilla,앵귈라,Anguilla,Anguilla,Ангілья,Anguilla,Anguilla,Anguilla,Anguilla,Anguilla,Anguilla,Anguilla,安圭拉,安圭拉,แองกวิลลา,アンギラ,Anguilla,أنجويلا,Anguilla,Anguila,Anguilla,Anguilla,Anguilla,אנגווילה
Antarctica,Antarctica,Антарктида,Antarctique,Antarktis,Antarktika,남극,Antarktis,Antarktika,Антарктида,Châu Nam Cực,Antarktika,Antarktika,Etelämanner,Antarktida,Antartide,Antarktika,南極洲,南极洲,ทวีปแอนตาร์กติกา,南極大陸,Antarctida,أنتاركتيكا,Antarktída,Antártida,Antarktyda,Antarctica,Antártica,אנטארקטיקה
Antigua and Barbuda,Antigua and Barbuda,Антигуа и Барбуда,Antigua-et-Barbuda,Antigua og Barbuda,Antigua dan Barbuda,앤티가 바부다,Antigua och Barbuda,Antigua ve Barbuda,Антигуа і Барбуда,Antigua và Barbuda,Antigua és Barbuda,Antigua und Barbuda,Antigua ja Barbuda,Antigua a Barbuda,Antigua e Barbuda,Antigua og Barbuda,安提瓜和巴布達,安提瓜和巴布达,ประเทศแอนติกาและบาร์บูดา,アンティグア・バーブーダ,Antigua și Barbuda,أنتيغوا وباربودا,Antigua a Barbuda,Antigua y Barbuda,Antigua i Barbuda,Antigua en Barbuda,Antígua e Barbuda,אנטיגואה וברבודה
Argentina,Argentina,Аргентина,Argentine,Argentina,Argentina,아르헨티나,Argentina,Arjantin,Аргентина,Argentina,Argentína,Argentinien,Argentiina,Argentina,Argentina,Argentina,阿根廷,阿根廷,อาร์เจนตินา,アルゼンチン,Argentina,الأرجنتين,Argentína,Argentina,Argentyna,Argentinië,Argentina,ארגנטינה
Argentina_Buenos Aires_North,Buenos Aires Province — North,Буэнос-Айрес — Север,province de Buenos Aires — Nord,Provincia de Buenos Aires — Nord,Provinsi Buenos Aires — Utara,부에노스아이레스 주 — 북,Buenos Aires — Nord,Buenos Aires eyaleti — Kuzey,Буенос-Айрес — Північ,Buenos Aires — Bắc,Buenos Aires tartomány — Észak,Provinz Buenos Aires — Norden,Buenos Airesin maakunta — Pohjoinen,Buenos Aires — Sever,provincia di Buenos Aires — Nord,Buenos Aires — Nord,布宜諾斯艾利斯省 - 北部,布宜诺斯艾利斯省 - 北部,รัฐบัวโนสไอเรส — เหนือ,ブエノスアイレス州・北部,Provincia Buenos Aires — Nord,بوينس آيرس — شمال,Buenos Aires — Sever,Buenos Aires — Norte,Buenos Aires — Północ,Buenos Aires — Noord,Buenos Aires — Norte,בואנוס איירס — צָפוֹן
Argentina_Buenos Aires_South,Buenos Aires Province — South,Буэнос-Айрес — Юг,province de Buenos Aires — Sud,Provincia de Buenos Aires — Syd,Provinsi Buenos Aires — Selatan,부에노스아이레스 주 — 남,Buenos Aires — Syd,Buenos Aires eyaleti — Güney,Буенос-Айрес — Південь,Buenos Aires — Nam,Buenos Aires tartomány — Dél,Provinz Buenos Aires — Süden,Buenos Airesin maakunta — Etelä,Buenos Aires — Jih,provincia di Buenos Aires — Sud,Buenos Aires — Sør,布宜諾斯艾利斯省 - 南部,布宜诺斯艾利斯省 - 南部,รัฐบัวโนสไอเรส — ใต้,ブエノスアイレス州・南部,Provincia Buenos Aires — Sud,بوينس آيرس — جنوب,Buenos Aires — Juh,Buenos Aires — Sur,Buenos Aires — Południe,Buenos Aires — Zuid,Buenos Aires — Sul,בואנוס איירס — דָרוֹם
Argentina_Cuyo,Cuyo,Куйо,Cuyo,Cuyo,Cuyo (Argentina),쿠요,Cuyo,Cuyo,Куйо,Cuyo,Cuyo ,Cuyo,Cuyo,Cuyo,Cuyo,Cuyo,庫約地區 (阿根廷),库约地区 (阿根廷),คูโย,クージョ,Cuyo,كويو,Cuyo,Cuyo,Cuyo,Cuyo,Cuyo,קוז'ו
